"","Genotype","DP_2015","DP_2017","DP_2018","DP_2019","DP_2015_2017","DP_2015_2018","DP_2015_2019"
"J950409-10-5",170,101.292969714389,111.595587728839,97.1355474198047,15.1968270571827,106,103.05160390516,81.1171548117155
"J950411-02",171,21.2929697143889,71.5955877288386,37.1355474198047,-44.8031729428173,46,43.0516039051603,21.1171548117155
"J950411-03",172,41.2929697143889,71.5955877288386,37.1355474198047,35.1968270571827,56,49.718270571827,46.1171548117155
"J950411-05",173,41.2929697143889,111.595587728839,97.1355474198047,55.1968270571827,76,83.0516039051603,76.1171548117155
"J950411-10",174,61.2929697143889,111.595587728839,77.1355474198047,95.1968270571827,86,83.0516039051603,86.1171548117155
"J950412-01",175,41.2929697143889,111.595587728839,57.1355474198047,-24.8031729428173,76,69.718270571827,46.1171548117155
"J960670-1",176,81.2929697143889,71.5955877288386,37.1355474198047,15.1968270571827,76,63.0516039051603,51.1171548117155
"J960678-5",177,61.2929697143889,71.5955877288386,57.1355474198047,15.1968270571827,66,63.0516039051603,51.1171548117155
"J960793-1",178,61.2929697143889,111.595587728839,57.1355474198047,35.1968270571827,86,76.3849372384937,66.1171548117155
"J960793-3",179,61.2929697143889,111.595587728839,57.1355474198047,15.1968270571827,86,76.3849372384937,61.1171548117155
"J960793-4",180,98.1977316191508,93.9765401097909,77.1355474198047,55.1968270571827,95.9999999999999,89.7182705718271,81.1171548117154
"J960794-2",181,98.1977316191508,93.9765401097909,77.1355474198047,-24.8031729428173,95.9999999999999,89.7182705718271,61.1171548117154
"J960805-2",182,38.1977316191508,53.9765401097909,97.1355474198047,-4.80317294281729,46,63.0516039051604,46.1171548117154
"J960805-4",183,58.1977316191508,73.9765401097909,97.1355474198047,-24.8031729428173,66,76.3849372384937,51.1171548117154
"J961024-1",184,-1.80226838084922,53.9765401097909,77.1355474198047,-44.8031729428173,26,43.0516039051604,21.1171548117154
"J961024-2",185,-21.8022683808492,13.9765401097909,97.1355474198047,-44.8031729428173,-4.00000000000002,29.7182705718271,11.1171548117154
"J961042-2",186,-1.80226838084922,-26.0234598902091,97.1355474198047,55.1968270571827,-14,23.0516039051604,31.1171548117154
"J961101-1",187,98.1977316191508,73.9765401097909,77.1355474198047,75.1968270571827,86,83.0516039051604,81.1171548117154
"J961167-1",188,78.1977316191508,93.9765401097909,77.1355474198047,55.1968270571827,85.9999999999999,83.0516039051604,76.1171548117154
"J961273-1",189,58.1977316191508,73.9765401097909,97.1355474198047,-44.8031729428173,66,76.3849372384937,46.1171548117154
"J970041-5",190,38.1977316191508,93.9765401097909,97.1355474198047,-4.80317294281729,65.9999999999999,76.3849372384937,56.1171548117154
"J970055-4",191,78.1977316191508,73.9765401097909,97.1355474198047,-4.80317294281729,76,83.0516039051604,61.1171548117154
"J970057-1",192,98.1977316191508,113.976540109791,77.1355474198047,15.1968270571827,106,96.3849372384937,76.1171548117155
"J970057-2",193,98.1977316191508,93.9765401097909,57.1355474198047,-24.8031729428173,95.9999999999999,83.0516039051604,56.1171548117154
"J970057-3",194,98.1977316191508,93.9765401097909,57.1355474198047,35.1968270571827,95.9999999999999,83.0516039051604,71.1171548117154
"J970057-5",195,78.1977316191508,73.9765401097909,57.1355474198047,-44.8031729428173,76,69.7182705718271,41.1171548117154
"J970057-9",196,98.1977316191508,53.9765401097909,97.1355474198047,35.1968270571827,76,83.0516039051604,71.1171548117154
"J970062-6",197,98.1977316191508,73.9765401097909,77.1355474198047,-24.8031729428173,86,83.0516039051604,56.1171548117154
"J970067-1",198,98.1977316191508,113.976540109791,97.1355474198047,55.1968270571827,106,103.05160390516,91.1171548117155
"J970067-9",199,58.1977316191508,113.976540109791,97.1355474198047,75.1968270571827,85.9999999999999,89.7182705718271,86.1171548117155
"J970092-2",200,38.1977316191508,93.9765401097909,97.1355474198047,115.196827057183,65.9999999999999,76.3849372384937,86.1171548117154
"J970092-3",201,98.1977316191508,93.9765401097909,117.135547419805,75.1968270571827,95.9999999999999,103.05160390516,96.1171548117154
"J970157-2",202,78.1977316191508,93.9765401097909,37.1355474198047,95.1968270571827,85.9999999999999,69.7182705718271,76.1171548117154
"J970245-1",203,98.1977316191508,93.9765401097909,57.1355474198047,95.1968270571827,95.9999999999999,83.0516039051604,86.1171548117154
"J970284-2",204,18.1977316191508,93.9765401097909,97.1355474198047,115.196827057183,56,69.7182705718271,81.1171548117154
"J970536-1",205,18.1977316191508,113.976540109791,37.1355474198047,55.1968270571827,65.9999999999999,56.3849372384937,56.1171548117154
"J970611-1",206,-1.80226838084922,113.976540109791,37.1355474198047,95.1968270571827,56,49.7182705718271,61.1171548117154
"J970812-6",207,58.1977316191508,113.976540109791,77.1355474198047,75.1968270571827,85.9999999999999,83.0516039051604,81.1171548117155
"J970984-2",208,58.1977316191508,93.9765401097909,97.1355474198047,75.1968270571827,75.9999999999999,83.0516039051604,81.1171548117154
"J971058-2",209,18.1977316191508,73.9765401097909,77.1355474198047,135.196827057183,46,56.3849372384937,76.1171548117154
"J971186-1",210,58.1977316191508,73.9765401097909,97.1355474198047,115.196827057183,66,76.3849372384937,86.1171548117154
"J971221-1",211,118.197731619151,93.9765401097909,77.1355474198047,115.196827057183,106,96.3849372384937,101.117154811715
"J971236-1",212,98.1977316191508,93.9765401097909,77.1355474198047,115.196827057183,95.9999999999999,89.7182705718271,96.1171548117154
